Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
rpoB_R505K,gyrB_I139R,0.152383487,0.01259312,0.121100442,0.183666532,1.235708526,0.014423612,1.199878288,1.271538765
cfrC,vanG,0.80230683,0.025087435,0.739986187,0.864627473,1.234929512,0.018659865,1.188575838,1.281283187
cfrC,vanT_Cd,0.80230683,0.025087435,0.739986187,0.864627473,1.234929512,0.018659865,1.188575838,1.281283187
aac6p_Ie_aph2pp_Ia,aph2pp_If,0.024088283,0.006959112,0.006800891,0.041375676,1.234472728,0.060076592,1.0852342,1.383711256
gyrB_S366A,blaCDD_1,0.039924044,0.007381951,0.021586261,0.058261826,1.233999106,0.054440682,1.098760955,1.369237257
tet40,rpoB_H502N,0.032481669,0.014433035,-0.003371977,0.068335315,1.232227571,0.623429541,-0.316457263,2.780912406
aph2pp_If,spw,0.053020767,0.015474206,0.01458071,0.091460825,1.231955692,0.231091556,0.657892442,1.806018941
blaCDD_1,vanZ1,0.975776617,0.000809134,0.973766618,0.977786616,1.229762204,0.042005061,1.125415849,1.334108559
vanG,aac6p_Ie_aph2pp_Ia,0.059725958,0.022936305,0.002749018,0.116702898,1.229638104,0.220223138,0.682573501,1.776702707
vanT_Cd,aac6p_Ie_aph2pp_Ia,0.059725958,0.022936305,0.002749018,0.116702898,1.229638104,0.220223138,0.682573501,1.776702707
vanS_Cd,gyrB_S366A,0.131307599,0.030897948,0.054552841,0.208062357,1.228656637,0.089837226,1.005488595,1.451824679
blaCDD_1,vanS_Cd,0.789336848,0.012922643,0.757235222,0.821438473,1.226389251,0.018359092,1.180782739,1.271995764
blaCDD_2,dfrF,0.043092488,0.010333512,0.017422622,0.068762354,1.223986488,0.151133836,0.848549227,1.599423749
aph2pp_If,aac6p_Ie_aph2pp_Ia,0.068029493,0.02525753,0.00528631,0.130772676,1.222689965,0.049966175,1.098567104,1.346812826
rpoB_H502N,tet40,0.073690476,0.019080083,0.026292922,0.121088029,1.219557009,0.595210438,-0.259027687,2.698141704
ermB,blaCDD_1,0.038578492,0.006306148,0.022913153,0.054243831,1.218147294,0.038501555,1.122504128,1.31379046
tetM,blaCDD_2,0.116994222,0.019787445,0.067839483,0.16614896,1.212508381,0.255240703,0.578455325,1.846561437
gyrB_S366A,tetM,0.256286752,0.018419737,0.210529589,0.302043915,1.210788884,0.199319634,0.715651465,1.705926302
blaCDD_1,gyrB_S366A,0.146127303,0.024965192,0.084110328,0.208144278,1.20903085,0.053953255,1.075003533,1.343058166
aph3p_IIIa,gyrB_S366A,0.139545635,0.033495901,0.056337206,0.222754065,1.208582413,0.475605051,0.027113971,2.390050856
cfrC,vanS_Cd,0.779853596,0.026314143,0.714485642,0.84522155,1.208138967,0.009656034,1.18415205,1.232125884
vanZ1,vanG,0.673380167,0.035156731,0.586046005,0.760714329,1.208076383,0.187495402,0.742311985,1.673840782
vanZ1,vanT_Cd,0.673380167,0.035156731,0.586046005,0.760714329,1.208076383,0.187495402,0.742311985,1.673840782
vanZ1,vanR_Cd,0.67551762,0.036921202,0.58380027,0.76723497,1.207619402,0.186619412,0.744031084,1.671207721
vanS_Cd,gyrA_T82I,0.307907343,0.009904861,0.283302304,0.332512381,1.203929736,0.148841683,0.834186497,1.573672975
dfrF,blaCDD_2,0.120667261,0.011083713,0.093133792,0.148200729,1.203806214,0.132627071,0.874342305,1.533270122
ermB,vanZ1,0.920108805,0.04141379,0.817231246,1.022986363,1.201951086,0.044101333,1.092397303,1.311504869
blaCDD_2,tet40,0.079606767,0.032336189,-0.00072078,0.159934314,1.198883053,0.146122868,0.835893725,1.561872381
rpoB_H502N,sat4,0.030334837,0.00509454,0.017679297,0.042990377,1.198307226,0.40149168,0.200946602,2.195667851
gyrB_S366A,blaCDD_2,0.118113841,0.010386091,0.092313361,0.143914321,1.197404954,0.137189109,0.856608315,1.538201592
sat4,rpoB_H502N,0.032933199,0.011356631,0.004721764,0.061144634,1.196924521,0.397637473,0.209138279,2.184710763
blaCDD_2,aph2pp_If,0.023205776,0.00774227,0.003972911,0.04243864,1.19479684,0.176083283,0.757381716,1.632211963
blaCDD_2,gyrB_S366A,0.141583779,0.019064307,0.094225415,0.188942144,1.19412548,0.136913045,0.854014622,1.534236338
vanZ1,vanS_Cd,0.666863194,0.031579357,0.588415722,0.745310666,1.192880894,0.18837382,0.724934383,1.660827405
vanR_Cd,gyrA_T82I,0.307108131,0.008417947,0.286196791,0.32801947,1.192542478,0.097427535,0.950519064,1.434565892
tet40,blaCDD_2,0.118584997,0.012650106,0.087160392,0.150009601,1.192483317,0.145134125,0.831950164,1.553016471
rpoB_H502N,gyrB_D426V,0.027034763,0.018390029,-0.018648601,0.072718127,1.192147275,0.122715036,0.887306225,1.496988324
gyrB_D426V,rpoB_H502N,0.034220102,0.013517493,0.000640787,0.067799416,1.190569636,0.121754531,0.888114615,1.493024657
blaCDD_2,tetM,0.250411172,0.013540164,0.216775539,0.284046805,1.181693396,0.216868588,0.642961959,1.720424833
gyrB_I139R,rpoB_H502N,0.033031606,0.012443655,0.002119853,0.063943358,1.17498144,0.082673145,0.969609963,1.380352918
aph2pp_If,blaCDD_2,0.118109816,0.01446159,0.082185236,0.154034397,1.174398159,0.157961626,0.781999727,1.566796591
ant6_Ia,cfrC,0.026382554,0.003814946,0.016905703,0.035859406,1.171904678,0.183978036,0.7148779,1.628931456
blaCDD_1,ermB,0.256407176,0.024132359,0.196459072,0.31635528,1.168944817,0.031829888,1.089874992,1.248014641
blaCDD_2,gyrB_D426V,0.023879987,0.010185326,-0.001421765,0.04918174,1.166424218,0.278064954,0.47567258,1.857175856
cfrC,ant6_Ia,0.068877318,0.009942241,0.044179422,0.093575213,1.163280324,0.173207959,0.733007902,1.593552745
aac6p_Ie_aph2pp_Ia,vanR_Cd,0.754322784,0.043450864,0.646384854,0.862260713,1.161841165,0.060666448,1.011137353,1.312544976
